SUID,AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,Eccentricity,EdgeCount,id,Indegree,IsSingleNode,moduland_bridgeness,moduland_overlap,Module_Color,name,NeighborhoodConnectivity,Outdegree,PartnerOfMultiEdgedNodePairs,selected,SelfLoops,shared name,Stress
193,7.56550343,1.33E-04,0.13217891,0.5,18,4,K01728,3,FALSE,61.63441467,5.609162807,54,K01728,4.5,1,0,FALSE,0,K01728,666888
194,6.56750572,5.47E-04,0.15226481,0,17,3,K01730,2,FALSE,5.963200092,5.503145218,241,K01730,3.333333333,1,0,FALSE,0,K01730,525622
195,5.56950801,8.13E-04,0.17954907,0,16,3,K01815,2,FALSE,2.930387974,5.334328175,241,K01815,5.5,1,1,FALSE,0,K01815,721378
196,4.56979405,0.00133415,0.21882824,0.75,15,16,K00065,8,FALSE,61.98104858,4.77549696,0,K00065,20.875,8,8,FALSE,0,K00065,1164902
197,5.17419908,5.43E-04,0.19326663,0.3,16,9,K00848,5,FALSE,1.086246967,8.276511192,24,K00848,10,4,4,FALSE,0,K00848,349025
198,4.28489703,0.00182499,0.23337784,0.53870968,15,54,K01629,26,FALSE,61.15525436,5.351004124,24,K01629,41.09677419,28,23,FALSE,0,K01629,2433663
199,7.56550343,1.33E-04,0.13217891,0.5,18,4,K01731,3,FALSE,61.63441467,5.609162807,54,K01731,4.5,1,0,FALSE,0,K01731,666888
200,5.40560641,0.00155494,0.18499312,0.32142857,16,8,K00078,4,FALSE,69.30479431,4.606078148,24,K00078,25.625,4,0,FALSE,0,K00078,2264788
201,4.48741419,8.03E-04,0.22284549,0.5,15,5,K14259,1,FALSE,117.993576,9.159137726,0,K14259,41.6,4,0,FALSE,0,K14259,588877
202,5.41475973,2.09E-05,0.1846804,0.7,16,10,K17738,5,FALSE,0.110857002,5.492854118,24,K17738,16,5,5,FALSE,0,K17738,256062
203,5.18506865,1.12E-04,0.19286148,0.46428571,16,16,K17818,8,FALSE,0.267028987,4.616987228,24,K17818,18.25,8,8,FALSE,0,K17818,302270
204,6.28489703,0,0.1591116,1,18,4,K15856,2,FALSE,12.95964336,3.358360052,24,K15856,8.5,2,2,FALSE,0,K15856,0
205,4.62786041,3.35E-04,0.21608258,0.48677249,16,45,K02768,28,FALSE,4.112692833,2.776530981,24,K02768,50.67857143,17,17,FALSE,0,K02768,4275773
206,4.68344295,0,0.21351813,0.625,16,8,K08261,0,FALSE,6.352009773,3.605506897,24,K08261,47.625,8,0,FALSE,0,K08261,0
207,4.59839817,2.42E-04,0.21746703,0.44950739,16,43,K00008,26,FALSE,4.342080116,2.652409077,24,K00008,45.27586207,17,14,FALSE,0,K00008,1236322
208,4.62786041,3.35E-04,0.21608258,0.48677249,16,45,K00846,28,FALSE,4.112692833,2.776530981,24,K00846,50.67857143,17,17,FALSE,0,K00846,4275773
209,5.125,3.61E-04,0.19512195,0.51268116,17,34,K00045,21,FALSE,0.011282,2.220982075,24,K00045,40.29166667,13,10,FALSE,0,K00045,4536261
210,5.1246783,0,0.1951342,1,17,11,K01112,0,FALSE,0.004995,2.213718891,24,K01112,41.81818182,11,0,FALSE,0,K01112,0
211,5.45909611,5.00E-08,0.18318051,0.33333333,17,3,K02798,2,FALSE,8.00E-06,2.191024065,24,K02798,27.66666667,1,0,FALSE,0,K02798,5
212,5.03346682,2.72E-04,0.19867023,0.77777778,17,9,K01218,1,FALSE,5.407313824,2.515642881,24,K01218,47.66666667,8,0,FALSE,0,K01218,731913
213,4.98483982,5.56E-05,0.20060825,0.7,17,29,K02793,15,FALSE,0.025204999,1.797026038,24,K02793,43.8,14,14,FALSE,0,K02793,82739
214,4.42906178,6.83E-04,0.22578145,0.42612245,16,91,K00847,49,FALSE,1.425887942,1.843153,24,K00847,46.24,42,41,FALSE,0,K00847,4031977
215,4.45966819,1.34E-04,0.22423193,0.96296296,16,28,K01103,1,FALSE,0.491652012,1.79014504,24,K01103,50.33333333,27,1,FALSE,0,K01103,311657
216,5.45881007,5.10E-04,0.18319011,0.92857143,17,30,K00900,28,FALSE,0.553344011,1.787027001,24,K00900,49.46428571,2,2,FALSE,0,K00900,405620
217,4.45995423,8.03E-04,0.22421755,0.73010753,16,56,K00009,30,FALSE,1.085790038,1.739194036,24,K00009,44.87096774,26,25,FALSE,0,K00009,934965
218,4.44193364,4.17E-04,0.22512718,0.62936508,16,69,K01809,35,FALSE,1.060572028,1.509225965,24,K01809,42.88888889,34,33,FALSE,0,K01809,2643662
219,5.12843249,8.23E-06,0.19499135,0.82051282,17,26,K17497,13,FALSE,0.156911999,1.42561996,24,K17497,33.84615385,13,13,FALSE,0,K17497,5822
220,6.0326087,2.60E-04,0.16576577,0.81818182,18,11,K00754,10,FALSE,0.80448997,2.629978895,24,K00754,20.09090909,1,0,FALSE,0,K00754,208284
221,7.27517162,0.00240619,0.1374538,0.66666667,19,12,K00976,6,FALSE,0,1,154,K00976,5.5,6,6,FALSE,0,K00976,4172990
